Litologia     codigo      prof  dens       gama       rho        vel
dolomita        2         119   2.75E+00   7.61E+00   3.30E+03   5.68E+00
dolomita        2         120   2.74E+00   8.80E+00   3.87E+03   5.71E+00
diabasio        3         121   2.92E+00   3.13E+01   1.43E+08   5.79E+00
diabasio        3         122   2.86E+00   2.92E+01   1.57E+08   5.75E+00
diabasio        3         123   2.85E+00   2.91E+01   1.40E+08   6.14E+00
diabasio        3         124   2.87E+00   3.13E+01   1.46E+08   5.79E+00
diabasio        3         125   2.93E+00   3.37E+01   1.51E+08   5.50E+00
diabasio        3         126   2.91E+00   3.10E+01   1.64E+08   5.13E+00
diabasio        3         127   2.87E+00   3.08E+01   1.61E+08   5.87E+00
diabasio        3         128   2.85E+00   3.06E+01   1.60E+08   5.73E+00
diabasio        3         129   2.87E+00   3.00E+01   1.53E+08   5.40E+00
diabasio        3         130   2.92E+00   2.93E+01   1.55E+08   5.61E+00
diabasio        3         131   2.90E+00   2.66E+01   1.46E+08   5.32E+00
diabasio        3         132   2.90E+00   2.82E+01   1.47E+08   5.29E+00
diabasio        3         133   2.87E+00   2.92E+01   1.49E+08   5.46E+00
diabasio        3         134   2.92E+00   2.87E+01   1.52E+08   6.12E+00
diabasio        3         135   2.92E+00   3.19E+01   1.54E+08   5.11E+00
diabasio        3         136   2.92E+00   2.94E+01   1.60E+08   5.76E+00
diabasio        3         137   2.91E+00   3.00E+01   1.51E+08   5.80E+00
diabasio        3         138   2.91E+00   3.05E+01   1.51E+08   5.16E+00
diabasio        3         139   2.85E+00   3.06E+01   1.53E+08   6.06E+00
diabasio        3         140   2.84E+00   3.23E+01   1.59E+08   5.66E+00
diabasio        3         141   2.87E+00   3.21E+01   1.53E+08   5.44E+00
diabasio        3         142   2.90E+00   2.95E+01   1.43E+08   5.12E+00
diabasio        3         143   2.92E+00   3.18E+01   1.51E+08   6.10E+00
diabasio        3         144   2.90E+00   3.22E+01   1.58E+08   5.50E+00
diabasio        3         145   2.92E+00   3.28E+01   1.25E+08   5.60E+00
diabasio        3         146   2.87E+00   3.21E+01   1.33E+08   5.78E+00
diabasio        3         147   2.92E+00   3.05E+01   1.47E+08   5.36E+00
diabasio        3         148   2.89E+00   2.94E+01   1.55E+08   5.72E+00
diabasio        3         149   2.95E+00   2.96E+01   1.69E+08   5.38E+00
diabasio        3         150   2.92E+00   2.85E+01   1.52E+08   5.98E+00
dolomita        2         151   2.75E+00   8.10E+00   3.45E+03   6.26E+00
dolomita        2         152   2.73E+00   8.28E+00   3.64E+03   6.00E+00
dolomita        2         153   2.73E+00   8.70E+00   3.56E+03   6.20E+00
dolomita        2         154   2.70E+00   7.63E+00   3.49E+03   5.79E+00
dolomita        2         155   2.71E+00   7.29E+00   3.60E+03   5.44E+00
dolomita        2         156   2.81E+00   8.33E+00   3.56E+03   5.67E+00
dolomita        2         157   2.75E+00   7.77E+00   3.35E+03   6.17E+00
dolomita        2         158   2.74E+00   8.84E+00   2.96E+03   6.02E+00
dolomita        2         159   2.75E+00   8.79E+00   3.65E+03   6.09E+00
dolomita        2         160   2.75E+00   8.22E+00   3.70E+03   6.40E+00
dolomita        2         161   2.72E+00   7.80E+00   3.38E+03   6.04E+00
dolomita        2         162   2.71E+00   9.22E+00   3.71E+03   5.35E+00
dolomita        2         163   2.72E+00   8.10E+00   3.65E+03   5.86E+00
dolomita        2         164   2.76E+00   8.77E+00   3.25E+03   5.37E+00
dolomita        2         165   2.78E+00   8.66E+00   3.62E+03   5.71E+00
dolomita        2         166   2.76E+00   8.73E+00   3.39E+03   6.26E+00
dolomita        2         167   2.70E+00   7.83E+00   3.54E+03   5.58E+00
dolomita        2         168   2.71E+00   8.21E+00   3.50E+03   6.04E+00
dolomita        2         169   2.73E+00   8.55E+00   3.56E+03   6.38E+00
dolomita        2         170   2.70E+00   7.81E+00   3.26E+03   5.77E+00
dolomita        2         171   2.77E+00   8.77E+00   3.28E+03   5.61E+00
dolomita        2         172   2.72E+00   8.90E+00   3.36E+03   5.86E+00
dolomita        2         173   2.73E+00   7.94E+00   3.78E+03   5.69E+00
dolomita        2         174   2.72E+00   8.63E+00   3.16E+03   5.89E+00
dolomita        2         175   2.68E+00   8.19E+00   3.49E+03   6.07E+00
dolomita        2         176   2.71E+00   8.08E+00   3.25E+03   6.21E+00
dolomita        2         177   2.74E+00   7.77E+00   3.54E+03   5.73E+00
dolomita        2         178   2.79E+00   7.83E+00   3.29E+03   5.80E+00
dolomita        2         179   2.70E+00   8.05E+00   3.48E+03   6.20E+00
dolomita        2         180   2.71E+00   9.28E+00   3.33E+03   5.73E+00
dolomita        2         181   2.68E+00   7.98E+00   3.36E+03   6.33E+00
dolomita        2         182   2.69E+00   7.45E+00   3.65E+03   6.05E+00
dolomita        2         183   2.73E+00   8.43E+00   3.69E+03   5.61E+00
dolomita        2         184   2.74E+00   8.66E+00   3.27E+03   5.90E+00
dolomita        2         185   2.72E+00   8.47E+00   3.48E+03   6.34E+00
dolomita        2         186   2.70E+00   7.74E+00   3.28E+03   5.97E+00
dolomita        2         187   2.73E+00   7.43E+00   3.66E+03   5.65E+00
dolomita        2         188   2.65E+00   8.07E+00   3.54E+03   6.02E+00
dolomita        2         189   2.68E+00   8.69E+00   3.22E+03   5.98E+00
dolomita        2         190   2.74E+00   8.43E+00   3.75E+03   6.06E+00
dolomita        2         191   2.71E+00   7.53E+00   3.26E+03   6.31E+00
dolomita        2         192   2.76E+00   8.81E+00   3.67E+03   6.54E+00
dolomita        2         193   2.69E+00   8.38E+00   3.49E+03   5.07E+00
dolomita        2         194   2.70E+00   8.20E+00   3.53E+03   5.82E+00
dolomita        2         195   2.63E+00   8.66E+00   3.45E+03   6.50E+00
dolomita        2         196   2.70E+00   7.57E+00   3.51E+03   5.96E+00
dolomita        2         197   2.77E+00   7.85E+00   3.48E+03   5.36E+00
dolomita        2         198   2.71E+00   7.76E+00   3.32E+03   5.64E+00
dolomita        2         199   2.72E+00   8.37E+00   3.54E+03   5.90E+00
dolomita        2         200   2.78E+00   8.42E+00   3.70E+03   5.62E+00
dolomita        2         201   2.78E+00   7.88E+00   3.35E+03   5.95E+00
dolomita        2         202   2.68E+00   7.40E+00   3.68E+03   6.21E+00
dolomita        2         203   2.73E+00   8.49E+00   3.32E+03   5.65E+00
dolomita        2         204   2.71E+00   9.13E+00   3.14E+03   6.00E+00
dolomita        2         205   2.75E+00   8.39E+00   2.93E+03   6.06E+00
dolomita        2         206   2.69E+00   8.02E+00   3.67E+03   5.77E+00
dolomita        2         207   2.70E+00   8.45E+00   3.52E+03   6.09E+00
dolomita        2         208   2.71E+00   8.62E+00   3.59E+03   6.16E+00
dolomita        2         209   2.74E+00   8.56E+00   3.33E+03   6.41E+00
dolomita        2         210   2.72E+00   8.29E+00   3.57E+03   5.74E+00
dolomita        2         211   2.71E+00   7.40E+00   3.42E+03   5.28E+00
dolomita        2         212   2.71E+00   8.42E+00   3.49E+03   5.98E+00
dolomita        2         213   2.65E+00   8.18E+00   3.68E+03   6.37E+00
dolomita        2         214   2.72E+00   8.76E+00   3.63E+03   6.39E+00
dolomita        2         215   2.75E+00   7.77E+00   3.51E+03   6.74E+00
dolomita        2         216   2.69E+00   8.74E+00   3.16E+03   5.56E+00
dolomita        2         217   2.72E+00   8.79E+00   3.48E+03   6.29E+00
dolomita        2         218   2.74E+00   8.76E+00   3.45E+03   6.23E+00
dolomita        2         219   2.76E+00   8.83E+00   3.41E+03   6.24E+00
dolomita        2         220   2.72E+00   7.84E+00   3.41E+03   5.96E+00
dolomita        2         221   2.69E+00   8.53E+00   3.68E+03   6.72E+00
dolomita        2         222   2.71E+00   8.59E+00   3.71E+03   6.21E+00
dolomita        2         223   2.71E+00   8.88E+00   3.54E+03   5.93E+00
dolomita        2         224   2.75E+00   8.41E+00   3.49E+03   6.34E+00
dolomita        2         225   2.72E+00   7.96E+00   3.61E+03   5.61E+00
dolomita        2         226   2.72E+00   8.16E+00   3.42E+03   5.68E+00
dolomita        2         227   2.71E+00   8.15E+00   3.44E+03   6.38E+00
dolomita        2         228   2.66E+00   8.82E+00   3.42E+03   6.39E+00
dolomita        2         229   2.72E+00   8.39E+00   3.46E+03   5.61E+00
dolomita        2         230   2.71E+00   8.43E+00   3.53E+03   5.59E+00
dolomita        2         231   2.70E+00   8.11E+00   3.49E+03   6.07E+00
dolomita        2         232   2.71E+00   8.56E+00   3.11E+03   5.91E+00
dolomita        2         233   2.74E+00   7.80E+00   3.54E+03   6.40E+00
dolomita        2         234   2.70E+00   7.73E+00   3.83E+03   5.57E+00
dolomita        2         235   2.75E+00   7.86E+00   3.25E+03   5.60E+00
dolomita        2         236   2.71E+00   8.60E+00   3.42E+03   6.48E+00
dolomita        2         237   2.75E+00   7.94E+00   3.43E+03   5.70E+00
dolomita        2         238   2.72E+00   8.33E+00   3.69E+03   6.04E+00
dolomita        2         239   2.69E+00   8.40E+00   3.42E+03   6.31E+00
conglomerado    4         240   2.31E+00   9.19E+01   5.95E+03   1.87E+00
conglomerado    4         241   2.28E+00   9.82E+01   5.64E+03   2.05E+00
conglomerado    4         242   2.30E+00   1.07E+02   6.65E+03   2.06E+00
conglomerado    4         243   2.29E+00   1.06E+02   5.63E+03   1.86E+00
conglomerado    4         244   2.29E+00   9.70E+01   5.86E+03   2.22E+00
conglomerado    4         245   2.35E+00   1.08E+02   5.91E+03   2.21E+00
conglomerado    4         246   2.33E+00   1.02E+02   6.03E+03   1.97E+00
conglomerado    4         247   2.33E+00   9.27E+01   6.49E+03   1.97E+00
conglomerado    4         248   2.31E+00   1.10E+02   5.97E+03   1.90E+00
conglomerado    4         249   2.30E+00   1.02E+02   6.10E+03   1.99E+00
conglomerado    4         250   2.30E+00   9.75E+01   5.46E+03   1.87E+00
conglomerado    4         251   2.32E+00   9.28E+01   6.31E+03   2.08E+00
conglomerado    4         252   2.33E+00   1.05E+02   6.06E+03   2.11E+00
conglomerado    4         253   2.33E+00   8.89E+01   5.92E+03   2.03E+00
conglomerado    4         254   2.33E+00   1.03E+02   6.41E+03   2.03E+00
conglomerado    4         255   2.28E+00   1.05E+02   5.65E+03   2.08E+00
conglomerado    4         256   2.32E+00   1.04E+02   5.91E+03   1.91E+00
conglomerado    4         257   2.29E+00   9.89E+01   5.69E+03   2.00E+00
conglomerado    4         258   2.27E+00   1.04E+02   6.20E+03   1.88E+00
conglomerado    4         259   2.27E+00   1.03E+02   5.94E+03   1.97E+00
conglomerado    4         260   2.30E+00   1.04E+02   6.19E+03   1.95E+00
conglomerado    4         261   2.25E+00   1.05E+02   5.28E+03   2.19E+00
conglomerado    4         262   2.31E+00   1.12E+02   6.07E+03   1.88E+00
conglomerado    4         263   2.31E+00   1.00E+02   6.00E+03   2.14E+00
conglomerado    4         264   2.27E+00   1.01E+02   6.68E+03   1.98E+00
conglomerado    4         265   2.29E+00   9.85E+01   6.13E+03   2.05E+00
conglomerado    4         266   2.30E+00   9.39E+01   6.40E+03   2.12E+00
conglomerado    4         267   2.26E+00   1.03E+02   5.76E+03   1.92E+00
conglomerado    4         268   2.29E+00   1.00E+02   5.57E+03   2.06E+00
conglomerado    4         269   2.30E+00   9.91E+01   6.10E+03   1.94E+00
conglomerado    4         270   2.30E+00   9.36E+01   5.59E+03   1.93E+00
conglomerado    4         271   2.27E+00   9.52E+01   5.94E+03   1.95E+00
conglomerado    4         272   2.29E+00   1.06E+02   5.74E+03   1.99E+00
conglomerado    4         273   2.25E+00   9.87E+01   5.91E+03   2.18E+00
conglomerado    4         274   2.30E+00   1.05E+02   5.80E+03   2.11E+00
conglomerado    4         275   2.32E+00   9.64E+01   5.86E+03   2.16E+00
conglomerado    4         276   2.32E+00   9.39E+01   5.93E+03   2.12E+00
conglomerado    4         277   2.32E+00   1.02E+02   6.18E+03   2.02E+00
conglomerado    4         278   2.36E+00   9.93E+01   6.59E+03   1.96E+00
conglomerado    4         279   2.28E+00   9.94E+01   5.73E+03   2.04E+00
conglomerado    4         280   2.30E+00   1.05E+02   6.53E+03   2.22E+00
conglomerado    4         281   2.31E+00   1.06E+02   6.30E+03   2.00E+00
conglomerado    4         282   2.32E+00   9.96E+01   6.00E+03   1.94E+00
conglomerado    4         283   2.31E+00   1.02E+02   6.02E+03   2.04E+00
conglomerado    4         284   2.33E+00   8.96E+01   6.03E+03   2.13E+00
conglomerado    4         285   2.31E+00   1.09E+02   6.72E+03   1.92E+00
conglomerado    4         286   2.31E+00   9.62E+01   6.74E+03   2.05E+00
conglomerado    4         287   2.30E+00   9.19E+01   5.84E+03   2.05E+00
conglomerado    4         288   2.31E+00   1.01E+02   5.85E+03   1.98E+00
conglomerado    4         289   2.29E+00   9.45E+01   6.37E+03   1.81E+00
conglomerado    4         290   2.36E+00   9.79E+01   5.74E+03   1.96E+00
conglomerado    4         291   2.31E+00   1.12E+02   6.56E+03   2.02E+00
conglomerado    4         292   2.25E+00   1.06E+02   6.10E+03   1.86E+00
conglomerado    4         293   2.29E+00   9.92E+01   6.63E+03   1.95E+00
conglomerado    4         294   2.29E+00   9.76E+01   6.48E+03   2.15E+00
conglomerado    4         295   2.33E+00   1.05E+02   5.95E+03   2.08E+00
conglomerado    4         296   2.32E+00   9.88E+01   6.15E+03   1.98E+00
conglomerado    4         297   2.29E+00   9.41E+01   5.60E+03   1.97E+00
conglomerado    4         298   2.28E+00   9.95E+01   6.22E+03   1.99E+00
conglomerado    4         299   2.32E+00   9.25E+01   6.02E+03   2.12E+00
conglomerado    4         300   2.27E+00   9.23E+01   6.23E+03   2.05E+00
conglomerado    4         301   2.32E+00   9.72E+01   6.70E+03   1.98E+00
conglomerado    4         302   2.29E+00   1.05E+02   6.34E+03   1.94E+00
conglomerado    4         303   2.34E+00   9.62E+01   5.81E+03   2.02E+00
conglomerado    4         304   2.28E+00   9.65E+01   6.56E+03   1.98E+00
conglomerado    4         305   2.30E+00   1.06E+02   5.79E+03   2.04E+00
conglomerado    4         306   2.29E+00   1.06E+02   6.39E+03   2.06E+00
conglomerado    4         307   2.27E+00   9.62E+01   6.09E+03   2.18E+00
conglomerado    4         308   2.31E+00   9.43E+01   6.36E+03   1.87E+00
conglomerado    4         309   2.27E+00   8.92E+01   5.62E+03   2.19E+00
conglomerado    4         310   2.33E+00   9.94E+01   6.69E+03   1.76E+00
conglomerado    4         311   2.28E+00   1.05E+02   5.92E+03   2.06E+00
conglomerado    4         312   2.28E+00   9.73E+01   5.32E+03   2.02E+00
conglomerado    4         313   2.31E+00   1.05E+02   5.43E+03   2.17E+00
conglomerado    4         314   2.32E+00   9.86E+01   5.48E+03   1.80E+00
conglomerado    4         315   2.29E+00   9.46E+01   5.40E+03   1.85E+00
conglomerado    4         316   2.33E+00   9.27E+01   5.67E+03   1.94E+00
conglomerado    4         317   2.33E+00   9.67E+01   5.91E+03   1.94E+00
conglomerado    4         318   2.28E+00   1.07E+02   5.65E+03   1.99E+00
conglomerado    4         319   2.30E+00   1.06E+02   6.41E+03   2.08E+00
conglomerado    4         320   2.34E+00   9.37E+01   5.92E+03   2.23E+00
conglomerado    4         321   2.31E+00   1.02E+02   6.12E+03   2.04E+00
conglomerado    4         322   2.23E+00   8.79E+01   5.92E+03   1.97E+00
conglomerado    4         323   2.32E+00   9.91E+01   6.29E+03   2.22E+00
conglomerado    4         324   2.34E+00   1.06E+02   6.05E+03   1.98E+00
conglomerado    4         325   2.29E+00   9.82E+01   5.95E+03   2.23E+00
conglomerado    4         326   2.30E+00   1.05E+02   6.68E+03   2.02E+00
conglomerado    4         327   2.31E+00   9.41E+01   6.21E+03   1.95E+00
conglomerado    4         328   2.28E+00   1.07E+02   5.93E+03   2.19E+00
conglomerado    4         329   2.29E+00   1.04E+02   6.21E+03   2.04E+00
conglomerado    4         330   2.29E+00   9.56E+01   4.96E+03   1.85E+00
conglomerado    4         331   2.32E+00   9.95E+01   6.16E+03   1.91E+00
conglomerado    4         332   2.31E+00   1.01E+02   5.72E+03   1.94E+00
conglomerado    4         333   2.25E+00   1.04E+02   6.01E+03   2.02E+00
conglomerado    4         334   2.32E+00   1.03E+02   6.10E+03   1.90E+00
conglomerado    4         335   2.27E+00   9.68E+01   5.89E+03   2.32E+00
conglomerado    4         336   2.25E+00   8.91E+01   5.58E+03   2.07E+00
conglomerado    4         337   2.32E+00   9.85E+01   5.73E+03   1.96E+00
conglomerado    4         338   2.30E+00   9.44E+01   5.75E+03   1.89E+00
conglomerado    4         339   2.23E+00   1.07E+02   6.85E+03   2.10E+00
conglomerado    4         340   2.30E+00   9.57E+01   6.33E+03   2.06E+00
conglomerado    4         341   2.27E+00   9.81E+01   6.19E+03   1.96E+00
conglomerado    4         342   2.32E+00   1.07E+02   6.41E+03   1.95E+00
conglomerado    4         343   2.35E+00   9.76E+01   5.79E+03   2.04E+00
conglomerado    4         344   2.30E+00   1.02E+02   6.25E+03   1.98E+00
conglomerado    4         345   2.32E+00   1.01E+02   5.88E+03   2.14E+00
conglomerado    4         346   2.33E+00   1.01E+02   5.61E+03   1.85E+00
conglomerado    4         347   2.25E+00   9.91E+01   5.47E+03   1.87E+00
conglomerado    4         348   2.28E+00   9.29E+01   6.19E+03   2.00E+00
conglomerado    4         349   2.28E+00   9.66E+01   5.98E+03   1.88E+00
conglomerado    4         350   2.27E+00   1.05E+02   5.37E+03   1.89E+00
conglomerado    4         351   2.30E+00   9.39E+01   6.28E+03   1.96E+00
conglomerado    4         352   2.33E+00   9.96E+01   5.91E+03   2.07E+00
conglomerado    4         353   2.36E+00   9.78E+01   6.28E+03   1.78E+00
conglomerado    4         354   2.31E+00   9.63E+01   6.02E+03   2.04E+00
conglomerado    4         355   2.33E+00   1.02E+02   6.15E+03   1.99E+00
conglomerado    4         356   2.35E+00   9.34E+01   5.85E+03   2.16E+00
conglomerado    4         357   2.33E+00   9.31E+01   5.95E+03   2.16E+00
conglomerado    4         358   2.32E+00   9.81E+01   5.72E+03   1.94E+00
conglomerado    4         359   2.27E+00   1.05E+02   6.12E+03   1.97E+00
conglomerado    4         360   2.33E+00   1.03E+02   5.67E+03   2.14E+00
conglomerado    4         361   2.29E+00   9.98E+01   6.01E+03   1.92E+00
conglomerado    4         362   2.38E+00   1.06E+02   6.01E+03   1.98E+00
conglomerado    4         363   2.28E+00   1.02E+02   6.29E+03   1.96E+00
conglomerado    4         364   2.30E+00   8.94E+01   6.53E+03   1.97E+00
conglomerado    4         365   2.32E+00   1.02E+02   6.15E+03   2.05E+00
conglomerado    4         366   2.28E+00   1.05E+02   6.42E+03   1.76E+00
conglomerado    4         367   2.30E+00   1.07E+02   6.09E+03   2.07E+00
conglomerado    4         368   2.32E+00   9.69E+01   5.55E+03   1.90E+00
conglomerado    4         369   2.38E+00   1.01E+02   5.74E+03   2.02E+00
conglomerado    4         370   2.38E+00   9.65E+01   5.97E+03   1.96E+00
conglomerado    4         371   2.27E+00   9.39E+01   6.21E+03   1.85E+00
conglomerado    4         372   2.27E+00   1.00E+02   6.00E+03   1.94E+00
conglomerado    4         373   2.29E+00   9.97E+01   5.89E+03   2.12E+00
