Well_Name	Facies	Depth	GR	ILD_log10	DeltaPHI	PHIND
SHRIMPLIN	6	2832.0	40.73	1038	2.3	6375
SHRIMPLIN	6	2832.5	33.42	1005	2.2	6.61
SHRIMPLIN	6	2833.0	32.08	968	2.2	7355
SHRIMPLIN	6	2833.5	33.82	943	2.1	8.33
SHRIMPLIN	6	2834.0	45.57	924	1.1	8.84
SHRIMPLIN	6	2834.5	53.95	0.9	1.9	8125
SHRIMPLIN	6	2835.0	59.42	875	4.3	7845
SHRIMPLIN	6	2835.5	68.43	854	8.3	8665
SHRIMPLIN	6	2836.0	75.88	849	11.0	10.04
SHRIMPLIN	6	2836.5	77.75	864	11.3	10.85
SHRIMPLIN	6	2837.0	80.93	907	9.6	9815
SHRIMPLIN	6	2837.5	72.92	932	7.3	7475
SHRIMPLIN	6	2838.0	65.59	0.92	5.7	5265
SHRIMPLIN	6	2838.5	64.71	886	3.6	4045
SHRIMPLIN	6	2839.0	60.79	829	2.9	4.36
SHRIMPLIN	6	2839.5	78.55	754	2.0	9795
SHRIMPLIN	3	2840.0	107.77	713	1.8	19545
SHRIMPLIN	3	2840.5	110.87	686	6.0	26.65
SHRIMPLIN	3	2841.0	106.33	665	8.6	26.94
SHRIMPLIN	3	2841.5	87.85	0.64	9.6	21.77
SHRIMPLIN	3	2842.0	80.96	601	9.0	15.99
SHRIMPLIN	2	2842.5	66.94	568	11.2	12565
SHRIMPLIN	2	2843.0	61.48	561	12.0	11.69
SHRIMPLIN	2	2843.5	58.26	568	12.4	12285
SHRIMPLIN	2	2844.0	51.31	585	12.7	11735
SHRIMPLIN	2	2844.5	67.92	583	13.2	11.73
SHRIMPLIN	2	2845.0	67.77	566	14.1	12475
SHRIMPLIN	2	2845.5	67.73	543	14.4	13095
SHRIMPLIN	2	2846.0	68.85	516	12.1	13.35
SHRIMPLIN	2	2846.5	73.2	496	9.7	15.12
SHRIMPLIN	3	2847.0	84.46	486	6.1	20.48
SHRIMPLIN	3	2847.5	96.96	483	7.0	23225
SHRIMPLIN	3	2848.0	95.54	486	9.4	21305
SHRIMPLIN	3	2848.5	88.67	493	13.2	17235
SHRIMPLIN	3	2849.0	88.54	501	13.1	16.71
SHRIMPLIN	3	2849.5	92.22	501	11.2	18675
SHRIMPLIN	2	2850.0	89.67	491	4.9	20405
SHRIMPLIN	2	2850.5	91.17	0.47	2.2	20.3
SHRIMPLIN	2	2851.0	83.62	435	5.1	17.16
SHRIMPLIN	2	2851.5	85.0	401	8.3	15.87
SHRIMPLIN	2	2852.0	77.7	371	7.5	16.85
SHRIMPLIN	2	2852.5	74.29	334	6.1	17.3
SHRIMPLIN	2	2853.0	70.21	307	5.4	17.57
SHRIMPLIN	2	2853.5	76.38	297	4.7	17195
SHRIMPLIN	2	2854.0	76.28	301	4.4	16415
SHRIMPLIN	2	2854.5	69.04	314	4.1	14.19
SHRIMPLIN	2	2855.0	78.11	338	5.8	13.25
SHRIMPLIN	3	2855.5	84.18	377	6.8	15.72
SHRIMPLIN	3	2856.0	85.85	428	6.6	20045
SHRIMPLIN	3	2856.5	89.6	0.47	4.4	20455
SHRIMPLIN	3	2857.0	80.61	509	3.6	16.78
SHRIMPLIN	3	2857.5	79.36	539	7.5	11.78
SHRIMPLIN	3	2858.0	83.05	548	8.1	14545
SHRIMPLIN	3	2858.5	95.0	556	9.2	23.83
SHRIMPLIN	5	2859.0	85.04	629	6.4	26.67
SHRIMPLIN	5	2859.5	46.18	668	4.3	16.61
SHRIMPLIN	5	2860.0	34.53	703	4.9	8.22
SHRIMPLIN	5	2860.5	35.19	744	7.9	4.71
SHRIMPLIN	8	2861.0	27.85	803	7.8	4.24
SHRIMPLIN	8	2861.5	23.48	913	6.0	4.22
SHRIMPLIN	8	2862.0	20.42	1031	5.0	3785
SHRIMPLIN	8	2862.5	20.55	1147	4.1	3145
SHRIMPLIN	8	2863.0	19.99	1292	4.7	2195
SHRIMPLIN	8	2863.5	21.18	1405	5.2	1.59
SHRIMPLIN	8	2864.0	18.63	1452	4.7	1755
SHRIMPLIN	6	2864.5	29.41	1465	4.2	2.36
SHRIMPLIN	6	2865.0	43.09	1.48	3.1	3.11
SHRIMPLIN	6	2865.5	48.95	1479	4.2	2.95
SHRIMPLIN	6	2866.0	45.84	1437	4.1	3.03
SHRIMPLIN	6	2866.5	45.04	1.36	4.2	3.02
SHRIMPLIN	6	2867.0	42.92	1249	3.6	3445
SHRIMPLIN	6	2867.5	53.11	1104	3.3	4095
SHRIMPLIN	3	2868.0	67.55	966	4.2	5.13
SHRIMPLIN	3	2868.5	73.99	862	6.1	7.84
SHRIMPLIN	3	2869.0	83.09	806	9.4	11.2
SHRIMPLIN	3	2869.5	97.28	763	10.5	13.97
SHRIMPLIN	2	2870.0	95.16	714	9.6	12.96
SHRIMPLIN	2	2870.5	79.88	661	8.6	10425
SHRIMPLIN	2	2871.0	76.38	602	8.9	8785
SHRIMPLIN	2	2871.5	75.68	561	11.4	10305
SHRIMPLIN	2	2872.0	84.59	537	13.4	13745
SHRIMPLIN	3	2872.5	103.43	525	14.6	16.66
SHRIMPLIN	3	2873.0	103.41	522	14.7	17625
SHRIMPLIN	3	2873.5	99.27	0.52	13.0	16245
SHRIMPLIN	3	2874.0	92.94	516	12.1	14.85
SHRIMPLIN	3	2874.5	92.9	507	11.4	13.27
SHRIMPLIN	3	2875.0	80.32	504	11.0	12.48
SHRIMPLIN	2	2875.5	83.63	512	10.1	11525
SHRIMPLIN	2	2876.0	67.81	529	9.4	11.31
SHRIMPLIN	2	2876.5	67.88	559	9.7	10865
SHRIMPLIN	2	2877.0	64.39	589	8.4	10365
SHRIMPLIN	2	2877.5	61.99	604	6.9	9385
SHRIMPLIN	2	2878.0	62.5	604	5.5	8.53
SHRIMPLIN	2	2878.5	58.64	0.58	5.3	8.6
SHRIMPLIN	2	2879.0	64.04	543	5.7	9.98
SHRIMPLIN	2	2879.5	78.8	519	5.4	13745
SHRIMPLIN	3	2880.0	78.88	502	2.0	21885
SHRIMPLIN	3	2880.5	86.88	0.5	-3.8	33.79
SHRIMPLIN	3	2881.0	83.97	519	-2.0	37.47
SHRIMPLIN	3	2881.5	70.01	543	-4.3	31.57
SHRIMPLIN	7	2882.0	50.7	567	1.6	16.04
SHRIMPLIN	7	2882.5	30.81	601	1.9	5725
SHRIMPLIN	7	2883.0	17.35	656	4.2	2.73
SHRIMPLIN	8	2883.5	17.55	747	4.7	2925
SHRIMPLIN	8	2884.0	18.19	855	5.6	3285
SHRIMPLIN	8	2884.5	17.08	982	5.4	3.99
SHRIMPLIN	8	2885.0	15.88	1107	5.5	4.34
SHRIMPLIN	8	2885.5	20.38	1.17	5.0	4645
SHRIMPLIN	8	2886.0	24.93	1173	5.1	4.77
SHRIMPLIN	8	2886.5	28.57	1.15	4.5	4725
SHRIMPLIN	8	2887.0	34.54	1115	5.0	4365
SHRIMPLIN	8	2887.5	42.34	1064	5.3	4.4
SHRIMPLIN	8	2888.0	44.21	1008	5.5	4.86
SHRIMPLIN	6	2888.5	44.15	943	4.1	5.47
SHRIMPLIN	6	2889.0	39.25	0.88	3.9	5905
SHRIMPLIN	6	2889.5	38.37	812	5.7	7.13
SHRIMPLIN	2	2890.0	60.63	0.74	9.1	9.33
SHRIMPLIN	2	2890.5	83.69	684	12.4	11.31
SHRIMPLIN	2	2891.0	87.3	648	13.7	11975
SHRIMPLIN	2	2891.5	89.07	619	13.7	12065
SHRIMPLIN	2	2892.0	91.06	584	12.9	12.21
SHRIMPLIN	2	2892.5	98.37	559	12.0	12485
SHRIMPLIN	2	2893.0	87.1	548	11.3	12.23
SHRIMPLIN	2	2893.5	83.81	542	10.9	11.67
SHRIMPLIN	2	2894.0	83.11	535	10.4	11.96
SHRIMPLIN	2	2894.5	85.4	529	11.1	13.05
SHRIMPLIN	2	2895.0	86.83	524	11.5	13735
SHRIMPLIN	2	2895.5	80.54	515	11.2	13.6
SHRIMPLIN	2	2896.0	77.67	501	10.3	12905
SHRIMPLIN	2	2896.5	74.74	489	8.9	12575
SHRIMPLIN	2	2897.0	75.06	481	8.8	12305
SHRIMPLIN	2	2897.5	76.98	477	8.3	12.35
SHRIMPLIN	2	2898.0	79.6	471	8.5	12855
SHRIMPLIN	2	2898.5	92.95	467	8.6	14.3
SHRIMPLIN	2	2899.0	94.25	467	9.0	14.21
SHRIMPLIN	2	2899.5	83.12	467	9.1	13.64
SHRIMPLIN	2	2900.0	75.02	471	9.2	12.5
SHRIMPLIN	2	2900.5	62.61	0.48	8.7	11.92
SHRIMPLIN	2	2901.0	68.47	487	8.2	11635
SHRIMPLIN	2	2901.5	69.58	484	7.3	11265
SHRIMPLIN	2	2902.0	76.05	479	7.5	11375
SHRIMPLIN	2	2902.5	89.53	471	8.4	12285
SHRIMPLIN	3	2903.0	97.25	464	9.1	15135
SHRIMPLIN	3	2903.5	95.12	474	8.1	21.93
SHRIMPLIN	3	2904.0	91.67	501	6.4	26715
SHRIMPLIN	3	2904.5	85.15	521	3.7	25875
SHRIMPLIN	8	2905.0	65.17	534	2.5	18.92
SHRIMPLIN	8	2905.5	32.9	547	2.3	12215
SHRIMPLIN	8	2906.0	19.92	549	1.9	10.63
SHRIMPLIN	8	2906.5	14.52	549	2.4	11.06
SHRIMPLIN	8	2907.0	14.75	558	3.5	12.15
SHRIMPLIN	8	2907.5	15.01	565	3.9	13.16
SHRIMPLIN	8	2908.0	15.68	0.56	3.7	14.02
SHRIMPLIN	8	2908.5	16.96	0.55	3.0	14255
SHRIMPLIN	8	2909.0	15.78	534	3.1	12705
SHRIMPLIN	8	2909.5	15.71	507	3.9	11095
SHRIMPLIN	8	2910.0	17.29	484	3.6	10225
SHRIMPLIN	8	2910.5	25.4	476	3.5	10.81
SHRIMPLIN	2	2911.0	54.3	0.48	5.7	11865
SHRIMPLIN	2	2911.5	77.86	493	8.0	11795
SHRIMPLIN	2	2912.0	81.08	496	8.6	11345
SHRIMPLIN	2	2912.5	64.84	489	6.8	10.6
SHRIMPLIN	2	2913.0	68.3	476	6.3	10.89
SHRIMPLIN	2	2913.5	62.2	456	6.0	11805
SHRIMPLIN	2	2914.0	62.13	447	6.8	12205
SHRIMPLIN	2	2914.5	59.9	447	7.5	12495
SHRIMPLIN	2	2915.0	66.76	446	7.6	12.57
SHRIMPLIN	2	2915.5	68.75	441	8.4	12535
SHRIMPLIN	2	2916.0	89.47	431	10.0	13055
SHRIMPLIN	2	2916.5	92.28	0.42	12.3	14.46
SHRIMPLIN	2	2917.0	89.52	0.41	13.6	15.78
SHRIMPLIN	2	2917.5	72.44	401	11.6	15.58
SHRIMPLIN	2	2918.0	65.12	389	10.4	15095
SHRIMPLIN	2	2918.5	61.43	375	7.4	14.62
SHRIMPLIN	2	2919.0	64.01	362	6.4	15335
SHRIMPLIN	2	2919.5	60.03	354	4.5	15.0
SHRIMPLIN	2	2920.0	66.07	348	4.4	14.44
SHRIMPLIN	2	2920.5	74.64	344	5.0	13845
SHRIMPLIN	2	2921.0	76.08	344	5.9	14.19
SHRIMPLIN	2	2921.5	77.9	0.35	6.8	14375
SHRIMPLIN	2	2922.0	90.26	354	7.1	14075
SHRIMPLIN	2	2922.5	100.24	362	6.9	13.22
SHRIMPLIN	2	2923.0	104.57	367	8.0	14.63
SHRIMPLIN	2	2923.5	117.83	382	8.6	18955
SHRIMPLIN	2	2924.0	119.71	403	12.2	24.86
SHRIMPLIN	2	2924.5	114.49	436	13.7	26.24
SHRIMPLIN	2	2925.0	76.16	473	12.7	21.64
SHRIMPLIN	8	2925.5	34.5	509	8.2	15465
SHRIMPLIN	8	2926.0	17.99	548	3.1	11.83
SHRIMPLIN	8	2926.5	16.23	597	1.7	9835
SHRIMPLIN	8	2927.0	16.97	669	1.3	7.54
SHRIMPLIN	8	2927.5	18.68	745	2.3	5.93
SHRIMPLIN	8	2928.0	30.74	778	3.6	5.83
SHRIMPLIN	8	2928.5	46.76	775	3.6	6.47
SHRIMPLIN	6	2929.0	49.39	732	3.9	6.69
SHRIMPLIN	6	2929.5	44.23	669	5.7	7985
SHRIMPLIN	3	2930.0	54.96	602	7.3	10.27
SHRIMPLIN	3	2930.5	68.62	0.55	9.9	13345
SHRIMPLIN	2	2931.0	84.84	507	11.0	14745
SHRIMPLIN	2	2931.5	82.8	462	11.9	16365
SHRIMPLIN	3	2932.0	95.56	425	11.0	18035
SHRIMPLIN	3	2932.5	106.29	401	8.4	21.3
SHRIMPLIN	3	2933.0	95.11	394	7.8	21825
SHRIMPLIN	3	2933.5	96.55	391	8.2	20.44
SHRIMPLIN	3	2934.0	92.19	391	11.1	17735
SHRIMPLIN	3	2934.5	100.17	391	11.6	18.11
SHRIMPLIN	3	2935.0	101.7	387	11.9	19115
SHRIMPLIN	3	2935.5	100.5	0.38	13.8	18.12
SHRIMPLIN	3	2936.0	102.07	369	15.5	17425
SHRIMPLIN	3	2936.5	109.83	358	15.2	18.72
SHRIMPLIN	3	2937.0	118.17	354	18.5	21295
SHRIMPLIN	3	2937.5	119.16	358	17.9	24.97
SHRIMPLIN	6	2938.0	63.36	384	8.2	20.85
SHRIMPLIN	6	2938.5	44.37	398	6.1	14.47
SHRIMPLIN	6	2939.0	37.71	413	4.7	12.17
SHRIMPLIN	6	2939.5	37.36	438	4.4	12545
SHRIMPLIN	6	2940.0	39.66	467	4.6	13.01
SHRIMPLIN	8	2940.5	52.61	487	5.1	12835
SHRIMPLIN	8	2941.0	53.75	501	5.2	12.71
SHRIMPLIN	8	2941.5	59.61	504	5.5	12.8
SHRIMPLIN	8	2942.0	62.99	501	5.1	12.9
SHRIMPLIN	8	2942.5	72.39	496	4.6	12795
SHRIMPLIN	8	2943.0	81.12	496	4.3	12595
SHRIMPLIN	8	2944.0	234.8	515	4.7	11.41
SHRIMPLIN	8	2944.0	234.8	515	4.7	11.41
SHRIMPLIN	8	2944.5	273.48	538	5.3	10045
SHRIMPLIN	8	2945.0	164.34	573	5.9	8.48
SHRIMPLIN	8	2945.5	101.5	0.6	5.9	7805
SHRIMPLIN	6	2946.0	84.6	616	4.3	7.58
SHRIMPLIN	6	2946.5	84.6	616	4.3	7.58
SHRIMPLIN	8	2947.0	91.02	621	3.5	7795
SHRIMPLIN	4	2947.5	116.04	605	3.8	7.73
SHRIMPLIN	4	2948.0	129.74	574	5.0	8.61
SHRIMPLIN	3	2948.5	130.95	545	6.2	12.17
SHRIMPLIN	3	2949.0	127.25	519	7.5	17585
SHRIMPLIN	3	2949.5	115.33	484	10.4	20065
SHRIMPLIN	3	2950.0	110.37	453	13.2	19.63
SHRIMPLIN	3	2950.5	95.97	433	12.9	17945
SHRIMPLIN	3	2951.0	92.1	415	14.9	17.19
SHRIMPLIN	3	2951.5	92.33	401	14.7	16855
SHRIMPLIN	3	2952.0	84.32	401	14.9	17.04
SHRIMPLIN	3	2952.5	85.93	405	14.1	16725
SHRIMPLIN	3	2953.0	86.15	0.41	13.5	16505
SHRIMPLIN	3	2953.5	87.94	418	13.6	16735
SHRIMPLIN	3	2954.0	86.68	425	14.1	16.94
SHRIMPLIN	3	2954.5	85.31	431	14.7	17845
SHRIMPLIN	3	2955.0	86.99	441	13.9	18455
SHRIMPLIN	3	2955.5	88.41	456	13.4	18.05
SHRIMPLIN	3	2956.0	85.73	471	13.6	15635
SHRIMPLIN	3	2956.5	79.97	0.48	13.1	13.72
SHRIMPLIN	3	2957.0	72.32	489	13.4	13.05
SHRIMPLIN	3	2957.5	69.7	496	13.0	13785
SHRIMPLIN	3	2958.0	78.44	504	13.5	13815
SHRIMPLIN	3	2958.5	82.19	509	12.2	14275
SHRIMPLIN	3	2959.0	85.45	509	12.6	15215
SHRIMPLIN	3	2959.5	92.63	508	13.7	16465
SHRIMPLIN	3	2960.0	88.92	507	14.6	16885
SHRIMPLIN	3	2960.5	90.45	505	13.7	16.3
SHRIMPLIN	3	2961.0	87.42	504	12.7	15225
SHRIMPLIN	3	2961.5	84.11	507	12.5	15.12
SHRIMPLIN	3	2962.0	87.26	509	12.0	15145
SHRIMPLIN	3	2962.5	84.87	511	12.0	14.82
SHRIMPLIN	3	2963.0	84.88	507	11.3	14335
SHRIMPLIN	3	2963.5	88.37	493	10.5	15695
SHRIMPLIN	3	2964.0	90.68	0.48	11.1	18.01
SHRIMPLIN	3	2964.5	94.56	471	12.3	20.75
SHRIMPLIN	3	2965.0	96.31	462	15.0	22025
SHRIMPLIN	3	2965.5	99.42	456	17.2	22.97
SHRIMPLIN	3	2966.0	97.55	453	16.7	22.12
SHRIMPLIN	3	2966.5	98.51	0.45	15.3	20.35
SHRIMPLIN	2	2967.0	86.18	452	13.5	17.53
SHRIMPLIN	2	2967.5	89.44	461	12.2	16.31
SHRIMPLIN	2	2968.0	89.13	471	11.7	15875
SHRIMPLIN	2	2968.5	87.64	484	12.1	15865
SHRIMPLIN	2	2969.0	84.34	502	12.3	15685
SHRIMPLIN	2	2969.5	83.26	517	12.3	15.23
SHRIMPLIN	2	2970.0	84.8	525	12.5	14.78
SHRIMPLIN	2	2970.5	84.02	531	10.8	15.47
SHRIMPLIN	3	2971.0	90.99	535	10.9	15235
SHRIMPLIN	3	2971.5	83.72	537	11.4	14.25
SHRIMPLIN	3	2972.0	81.44	538	10.9	14015
SHRIMPLIN	3	2972.5	80.51	538	10.1	14465
SHRIMPLIN	3	2973.0	83.93	539	10.0	15.11
SHRIMPLIN	3	2973.5	83.36	535	10.1	15.73
SHRIMPLIN	3	2974.0	86.69	529	10.9	15115
SHRIMPLIN	3	2974.5	86.71	521	10.6	13995
SHRIMPLIN	3	2975.0	84.91	515	11.0	14065
SHRIMPLIN	3	2975.5	84.75	516	13.6	20.0
SHRIMPLIN	3	2976.0	87.88	543	16.2	23385
SHRIMPLIN	3	2976.5	86.06	584	15.0	20.82
SHRIMPLIN	5	2977.0	56.43	627	10.4	12115
SHRIMPLIN	5	2977.5	32.69	667	6.2	6.42
SHRIMPLIN	5	2978.0	25.06	708	5.9	4845
SHRIMPLIN	5	2978.5	18.26	0.77	5.3	4695
SHRIMPLIN	5	2979.0	18.28	874	4.9	4.67
SHRIMPLIN	5	2979.5	14.41	947	3.9	5705
SHRIMPLIN	8	2980.0	13.99	983	2.3	7.35
SHRIMPLIN	8	2980.5	13.28	983	0.1	8365
SHRIMPLIN	8	2981.0	16.71	946	0.1	8.53
SHRIMPLIN	8	2981.5	31.35	907	3.7	8695
SHRIMPLIN	5	2982.0	49.41	881	9.4	10025
SHRIMPLIN	5	2982.5	65.33	862	13.3	9785
SHRIMPLIN	5	2983.0	64.3	841	11.1	9.24
SHRIMPLIN	5	2983.5	42.48	819	7.1	8.02
SHRIMPLIN	8	2984.0	29.96	794	4.8	7.48
SHRIMPLIN	8	2984.5	21.23	772	3.5	7.98
SHRIMPLIN	8	2985.0	28.09	768	2.2	8295
SHRIMPLIN	8	2985.5	31.12	775	1.5	8515
SHRIMPLIN	5	2986.0	36.63	0.78	0.9	8165
SHRIMPLIN	5	2986.5	36.1	783	0.5	8115
SHRIMPLIN	5	2987.0	42.06	787	0.6	7475
SHRIMPLIN	5	2987.5	44.31	792	1.5	6.77
SHRIMPLIN	5	2988.0	43.19	803	2.1	6215
SHRIMPLIN	5	2988.5	39.82	0.82	2.3	6.04
SHRIMPLIN	5	2989.0	41.71	839	2.3	6.61
SHRIMPLIN	5	2989.5	43.02	865	2.5	7.01
SHRIMPLIN	5	2990.0	42.6	889	2.4	7.33
SHRIMPLIN	5	2990.5	41.53	906	2.7	6.94
SHRIMPLIN	5	2991.0	46.69	918	2.1	6705
SHRIMPLIN	5	2991.5	49.0	929	2.4	6685
SHRIMPLIN	5	2992.0	51.83	936	2.1	7.07
SHRIMPLIN	5	2992.5	45.87	0.94	2.7	7445
SHRIMPLIN	5	2993.0	45.87	0.94	2.7	7445
SHRIMPLIN	5	2993.5	46.83	943	2.4	7655
SHRIMPLIN	5	2994.0	47.5	946	2.9	7705
SHRIMPLIN	5	2994.5	48.88	947	3.1	7.33
SHRIMPLIN	5	2995.0	45.88	949	4.6	6865
SHRIMPLIN	5	2995.5	51.63	952	4.3	6.88
SHRIMPLIN	5	2996.0	49.28	954	3.9	7085
SHRIMPLIN	5	2996.5	52.4	956	3.7	7105
SHRIMPLIN	5	2997.0	50.59	0.96	4.3	6665
SHRIMPLIN	5	2997.5	49.71	963	4.5	6645
SHRIMPLIN	5	2998.0	46.48	967	4.8	6.69
SHRIMPLIN	5	2998.5	50.19	972	4.6	6815
SHRIMPLIN	5	2999.0	55.85	969	4.7	6475
SHRIMPLIN	5	2999.5	74.49	954	4.8	6.14
SHRIMPLIN	4	3000.0	126.32	936	5.2	6.41
SHRIMPLIN	4	3000.5	274.0	0.92	6.9	7.65
SHRIMPLIN	4	3001.0	358.74	903	8.5	10035
SHRIMPLIN	4	3001.5	361.15	896	9.9	12255
SHRIMPLIN	4	3002.0	227.99	894	10.3	12.67
SHRIMPLIN	5	3002.5	115.43	893	10.0	11.24
SHRIMPLIN	5	3003.0	80.43	893	9.3	9055
SHRIMPLIN	5	3003.5	65.06	898	8.4	8.13
SHRIMPLIN	5	3004.0	49.86	0.91	7.6	7585
SHRIMPLIN	5	3004.5	51.04	925	7.3	7795
SHRIMPLIN	5	3005.0	52.63	942	7.6	7.84
SHRIMPLIN	5	3005.5	56.88	975	7.8	8.3
SHRIMPLIN	5	3006.0	60.61	982	7.8	8335
SHRIMPLIN	5	3006.5	57.36	985	7.6	8.07
SHRIMPLIN	5	3007.0	53.58	986	7.2	8.13
SHRIMPLIN	5	3007.5	52.02	986	7.1	8165
SHRIMPLIN	5	3008.0	53.66	986	7.4	8.46
SHRIMPLIN	5	3008.5	55.22	985	7.7	8.54
SHRIMPLIN	5	3009.0	50.16	982	7.2	8.38
SHRIMPLIN	5	3009.5	55.6	971	7.1	8295
SHRIMPLIN	5	3010.0	53.77	955	6.8	8035
SHRIMPLIN	5	3010.5	50.23	937	7.1	8.86
SHRIMPLIN	5	3011.0	63.43	915	7.1	9.95
SHRIMPLIN	5	3011.5	61.93	889	8.0	11.39
SHRIMPLIN	5	3012.0	68.62	863	8.1	12.28
SHRIMPLIN	5	3012.5	74.18	836	8.2	12.17
SHRIMPLIN	4	3013.0	73.86	816	8.0	12.37
SHRIMPLIN	4	3013.5	71.51	798	8.9	12.94
SHRIMPLIN	4	3014.0	79.77	782	10.0	14235
SHRIMPLIN	4	3014.5	80.9	776	11.0	14.86
SHRIMPLIN	4	3015.0	96.85	775	9.4	13.74
SHRIMPLIN	4	3015.5	92.76	771	7.8	11.48
SHRIMPLIN	6	3016.0	51.5	762	6.6	8025
SHRIMPLIN	6	3016.5	47.77	756	7.4	9425
SHRIMPLIN	6	3017.0	54.15	751	6.4	11.7
SHRIMPLIN	6	3017.5	50.45	0.74	4.3	13.34
SHRIMPLIN	9	3018.0	32.78	723	1.2	13.11
SHRIMPLIN	9	3018.5	23.5	711	0.3	12.3
